Date,Ticker,Action,Shares,Price,Fees,Name
2026-01-15,IEMG,Sell,8,71.4668,0,ISHARES CORE MSCI EMERGING ETF
2025-09-10,IEMG,Sell,66,64.045,0.01,ISHARES CORE MSCI EMERGING ETF
2025-06-30,IEMG,Buy,1930,59.895,0,ISHARES CORE MSCI EMERGING ETF
2025-06-30,YUMC,Buy,51,44.4856,0,YUM CHINA HLDGS INC
2025-06-30,MELI,Sell,1,2611.87,0,MERCADOLIBRE INC
2025-06-30,PBR,Buy,200,12.495,0,PETROLEO BRASILEIRO SA FSPONSORED ADR 1 ADR REPS 2 ORD SHS
2025-06-30,BABA,Sell,46,112.5429,0.01,ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS
2025-06-30,WIT,Buy,1450,3.0352,0,WIPRO LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS
2025-06-30,TSM,Sell,129,226.51,0.02,TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS
2025-06-30,ACMR,Buy,269,25.976,0,ACM RESH INC CLASS A
2025-06-30,SQM,Sell,150,35.10,0.02,SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS
2025-06-30,FN,Sell,80,292.0475,0.01,FABRINET F
2025-06-30,NTES,Sell,95,134.91,0.02,NETEASE INC FSPONSORED ADR 1 ADR REPS 5 ORD SHS
2025-06-30,WNS,Sell,130,63.6876,0.02,WNS HOLDINGS LIMITED F
2025-06-30,EBR,Sell,821,7.3911,0.14,ELETROBRAS ADR ADR FSPONSORED ADR 1 ADR REPS 1 ORD SHS
2025-06-30,NBIS,Sell,100,54.525,0.02,NEBIUS GROUP N V A FCLASS A
2025-06-30,MMYT,Sell,165,97.3377,0.03,"MAKEMYTRIP LIMITED, MA F"
2025-06-30,KT,Sell,449,20.782,0.07,KT CORP FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS
2025-06-30,GRVY,Sell,107,63.5387,0.02,GRAVITY CO LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS
2025-05-20,IEMG,Buy,82,57.425,0,ISHARES CORE MSCI EMERGING ETF
2025-05-20,PKX,Sell,99,43.585,0.02,POSCO HOLDINGS INC ADR FSPONSORED ADR 1 ADR REP 0.25 ORD SHS
2025-05-15,IEMG,Buy,451,57.2817,0,ISHARES CORE MSCI EMERGING ETF
2025-05-02,ANPDY,Sell,35,294.59,7.25,ANTA SPORTS PRODS LTD FSPONSORED ADR 1 ADR REPS 25 ORD SHS
2025-05-02,BYDDY,Sell,105,98.52,7.26,BYD CO LTD FUNSPONSORED ADR 1 ADR REPS 2 ORD SHS
2025-04-23,BABA,Buy,103,119.3613,0,ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS
2025-04-23,IEMG,Sell,41,53.3851,0.06,ISHARES CORE MSCI EMERGING ETF
2025-04-22,FN,Sell,27,179.00,0.12,FABRINET F
2025-04-22,MMYT,Sell,51,104.01,0.16,"MAKEMYTRIP LIMITED, MA F"
2025-04-16,BTSGY,Sell,119,3.08,0.03,BTS GROUP HLDGS PUB CO FSPONSORED ADR 1 ADR REPS ...100 ORD SHS
2025-04-08,SONY,Sell,6,21.90,0,SONY GROUP CORP FSPONSORED ADR 1 ADR REPS 1 ORD SHS
2025-04-08,CCJ,Sell,3,38.25,0,CAMECO CORP F
2025-03-19,BABA,Buy,1,142.61,0,ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS
2025-03-19,SONY,Buy,6,24.67,0,SONY GROUP CORP FSPONSORED ADR 1 ADR REPS 1 ORD SHS
2025-03-19,CCJ,Buy,3,44.04,0,CAMECO CORP F
